question_num,type,utterance,page,targetValue,csv_file
1751,3,how many v8 engines competed in the 1982 british formula one season?,1,8,203
4154,3,"how many entrants have names that contain the word ""team""?",1,3,203
4420,3,name an entrant with no cosworth engines.,1,John Jordan,203
5862,3,how many drivers use v8 engines?,1,8,203
5918,3,what is the total number of drivers listed?,1,10,203
7588,3,who is the only driver to use a v12 engine?,1,John Jordan,203
7959,3,are there any other engines listed besides cosworth or brm?,1,no,203
12514,2,which is the only driver whose vehicle used a brm 202 v12 engine?,1,David Williams,203
12666,3,what is the last chassis listed?,1,FW07,203
151,3,which province in andalusia has the largest population?,3,Seville,203
467,3,what province has the least population?,3,Huelva,203
1927,3,does cadiz or granada have a laerger population?,3,Cadiz,203
2010,3,how many provinces in andalusia have at least 100 municipalities?,3,4,203
5535,1,what is the number of legal districts in almeria province?,3,8,203
5979,3,which province in andalusia has the highest density?,3,Málaga,203
6310,3,which province has the most legal districts?,3,Seville,203
7103,3,"which province has a lower population density, almeria or jaen?",3,Jaen,203
7408,3,which province is the only province with a higher population than malaga?,3,Seville,203
8327,3,which province has the largest density in square miles?,3,Malaga,203
10678,3,what is the province with the most municipalities?,3,Granada,203
12336,3,the population of cadiz is how much greater than jaen?,3,"572,919",203
12941,1,is almería or córdoba's density 72.4/km2?,3,Córdoba,203
13643,2,how many municipalities exist in the province of cadiz?,3,44,203
98,3,how many received a gold or silver medal in cycling?,4,6,203
1666,3,what was the total number of silver medals earned?,4,14,203
3848,3,how many medals did france win at the 2000 olympics?,4,37,203
6856,3,how many earned their gold medals in rowing?,4,6,203
8676,3,what sport won the most gold medals?,4,Cycling,203
9052,3,which french competitor won the largest amount of medals in the 2000 summer olympics?,4,Florian Rousseau,203
4288,3,what is the last competition listed on the table?,5,UEFA Europa League,203
5249,3,who scored more points in the second round of the uefa cup?,5,Club Brugge,203
7243,1,group a or group b in 2013-2014 uefa europa leauge,5,Group A,203
9558,3,what is the number of competitions listed on the table?,5,7,203
10240,3,what is the season listed after 2002?,5,2007,203
10990,3,what was the last competition they took place in?,5,UEFA Europa League,203
11002,3,how many home games did st. gallen win?,5,5,203
12961,3,does each competition have an opponent listed?,5,yes,203
13673,3,how many times did they make it to the first round?,5,3,203
816,3,what is the total number of international goals that holosko has scored?,6,13,203
2916,1,what is the name of the venue where the last competition was played?,6,"Štadión Antona Malatinského, Trnava, Slovakia",203
3574,3,what were the number of times san marino was an opponent?,6,2,203
6607,3,against which team did holosko score the most goals?,6,San Marino,203
7393,3,how many games were in uefa or world cup qualifying matches?,6,5,203
7775,3,what was the first date of the first international competition?,6,16 November 2005,203
10249,1,how many goals were scored against spain on november 2005?,6,1,203
1318,3,how many singles did celine dion sing?,7,4,203
2138,3,"eiffel 65 had a top 100 hit of the 1990s, ""blue (da ba dee)"", as well as one other 1990s top 100 hit single. what was that other hit single?",7,Move Your Body,203
2812,3,what were the total number of songs that peaked at number one according to this chart?,7,61,203
4423,3,"how many artists had sales above 900,000?",7,18,203
5843,3,which single had the largest amount of sales in germany?,7,Mambo No. 5,203
7075,3,which song on the list of top 100 of the 1990s is the only one from brazil?,7,"Tic, Tic Tac",203
7117,3,candle in the wind had how many more sales than freed from desire?,7,1016000,203
8711,1,"how many sales did the single ""tic tic tac"" have?",7,"980,000",203
9085,2,how many more sales did elton john have than lou bega?,7,497000,203
11338,1,"what were the total sales of eiffel 65's ""blue (da ba dee)""?",7,"1,001,000",203
11892,2,"elton john released the ""candle in the wind"", the #2 hit single of the 1990s, in 1997. what was an earlier top 100 hit single of elton john's in the 1990s?",7,Can You Feel The Love Tonight,203
13419,3,what is the difference in sales from the highest sales to the lowest sales?,7,1872000,203
502,3,how many players scored a greater number of touchdowns than anthony hines?,8,3,203
629,3,what is the difference in yards averaged between cecil moore and raymond philyaw?,8,15 yards,203
950,3,which player has the most touch downs?,8,Charles Frederick,203
989,1,which player received the most yards in 2007?,8,Charles Frederick,203
4152,1,who is the only player to have a negative yard average?,8,Raymond Philyaw,203
4514,1,which player did not have positive yardage?,8,Raymond Philyaw,203
4957,3,which players did not score a touchdown?,8,Kevin Beard|Larrell Johnson|Jamarr Wood|Raymond Philyaw,203
5069,3,who had the most touchdowns: jerel myers or cecil moore?,8,Jerel Myers,203
6460,3,which player got the most yards?,8,Charles Frederick,203
8256,3,which player had the most receptions but no touchdowns?,8,Kevin Beard,203
8258,3,what is the difference between the highest average and the lowest avaerage?,8,20.2,203
9380,1,what is the difference in touchdowns between raymond philyaw and jerel myers?,8,21,203
10152,3,who was the next player besides charles frederick that received the most yards in 2007?,8,Jerel Myers,203
11148,3,which player's average is higher than ira gooch's?,8,Anthony Hines,203
11517,2,how many touchdowns did anthony hines and boo williams have altogether?,8,29,203
552,3,how many states have never used capital punishment?,9,3,203
752,2,which state had their last execution on 5 february 2014?,9,Texas,203
5190,3,how long has it been since the first hanging occurred?,9,169 years,203
5589,3,how many states had their last execution take place in 1997?,9,3,203
8596,2,which state had an execution done by the method of lethal injection and occurred in december of 2005?,9,Maryland,203
10251,3,arizona last put someone to death in october 2013 what state had the closest previous execution?,9,Alabama,203
10619,3,which state had a more recent execution take place delaware or mississippi?,9,Mississippi,203
11952,3,what is the total number of states that have never used capital punishment?,9,3,203
12180,3,how many states have never executed anyone?,9,3,203
12768,2,alabama last put someone to death in 2013 what was its means of execution?,9,lethal injection,203
13099,3,how many states have done executions in 2014?,9,5,203
13478,3,alphabetically what is the largest consecutive amount of states that use lethal injection?,9,8,203
256,3,what is the total number of wins for macau?,14,6,203
1592,3,"how many consecutive events took place in bangkok, thailand starting 20 may, 2008?",14,6,203
3358,3,when was his last match?,14,5 March 2014,203
3545,3,how many winning scores were at least 3?,14,6,203
4136,3,what was the date of the first international goal?,14,24 December 2005,203
4440,3,what competition was teeratep winothai in when he made his last international goal of 2008?,14,2008 AFF Suzuki Cup,203
9626,3,how many international goals did teeratep winothai make in 2009?,14,2,203
10473,1,who had more draws? south korea or north korea?,14,North Korea,203
12964,3,number of years with no victories,14,4,203
2556,3,which year saw the greatest final point total in the women's tournament finals?,15,2006,203
4023,3,which team won the most games in london after 2005?,15,Western,203
7530,1,what was the only year a men's runner-up was from toronto?,15,2008,203
8539,1,what school was the top winner in the women's tournament in 2003?,15,Western,203
8750,3,"of mcgill, western, and toronto, who won the least final matches between 2003-13?",15,Toronto,203
9899,3,"after western men's team win in 2007, who won the men's game next?",15,McGill,203
10252,3,how many total times was the location in montreal?,15,2,203
11662,3,what is the greatest number of consecutive wins of the women's tournament between 2003 and 2013?,15,7,203
12310,3,how many consecutive wins did western's men's team have?,15,2,203
12841,3,what is the number of times queen's was runner-up in men's?,15,3,203
